Capacity,Voltage
3.5,2.5
3.492985972,2.651743784
3.485971944,2.720884173
3.478957916,2.769920377
3.471943888,2.8056504
3.46492986,2.824439041
3.457915832,2.850170802
3.450901804,2.873950474
3.443887776,2.905150572
3.436873747,2.925290102
3.429859719,2.94494909
3.422845691,2.962855733
3.415831663,2.979961667
3.408817635,2.996061848
3.401803607,3.011240793
3.394789579,3.025602273
3.387775551,3.039095546
3.380761523,3.051758395
3.373747495,3.063844939
3.366733467,3.075124804
3.359719439,3.084845514
3.352705411,3.093638809
3.345691383,3.10214859
3.338677355,3.11035878
3.331663327,3.118379291
3.324649299,3.126445975
3.317635271,3.134522767
3.310621242,3.141988631
3.303607214,3.148735314
3.296593186,3.15523608
3.289579158,3.161507136
3.28256513,3.160199985
3.275551102,3.166040776
3.268537074,3.171698302
3.261523046,3.177184407
3.254509018,3.182510937
3.24749499,3.18768974
3.240480962,3.192732659
3.233466934,3.197651543
3.226452906,3.202457321
3.219438878,3.207136588
3.21242485,3.211677963
3.205410822,3.216081985
3.198396794,3.220360746
3.191382766,3.224528226
3.184368737,3.22859359
3.177354709,3.232566002
3.170340681,3.236454624
3.163326653,3.240268619
3.156312625,3.24401715
3.149298597,3.247706323
3.142284569,3.251333199
3.135270541,3.254901359
3.128256513,3.258416907
3.121242485,3.261893911
3.114228457,3.265347774
3.107214429,3.26878553
3.100200401,3.272214164
3.093186373,3.275640664
3.086172345,3.279072523
3.079158317,3.282515495
3.072144289,3.285969103
3.065130261,3.28942507
3.058116232,3.292869021
3.051102204,3.296296958
3.044088176,3.299709439
3.037074148,3.303107025
3.03006012,3.306490275
3.023046092,3.309859747
3.016032064,3.313210206
3.009018036,3.316530888
3.002004008,3.319820893
2.99498998,3.323081258
2.987975952,3.326315433
2.980961924,3.329525356
2.973947896,3.332709856
2.966933868,3.33586716
2.95991984,3.338995497
2.952905812,3.342094631
2.945891784,3.345176119
2.938877756,3.348249957
2.931863727,3.351317704
2.924849699,3.354378413
2.917835671,3.357429851
2.910821643,3.360469785
2.903807615,3.363495983
2.896793587,3.366506211
2.889779559,3.369498238
2.882765531,3.372469829
2.875751503,3.3754182
2.868737475,3.378335253
2.861723447,3.381217005
2.854709419,3.3840617
2.847695391,3.386876267
2.840681363,3.389662584
2.833667335,3.392413275
2.826653307,3.395122668
2.819639279,3.397789781
2.812625251,3.400418678
2.805611222,3.403013343
2.798597194,3.40557737
2.791583166,3.408111752
2.784569138,3.410618918
2.77755511,3.413102606
2.770541082,3.415567102
2.763527054,3.418018188
2.756513026,3.4204594
2.749498998,3.422894024
2.74248497,3.425325345
2.735470942,3.427756648
2.728456914,3.430192178
2.721442886,3.432637486
2.714428858,3.435096901
2.70741483,3.437575127
2.700400802,3.44007348
2.693386774,3.442594295
2.686372745,3.445138464
2.679358717,3.447709628
2.672344689,3.450320717
2.665330661,3.452968634
2.658316633,3.455649183
2.651302605,3.458359062
2.644288577,3.46109376
2.637274549,3.463848198
2.630260521,3.466617299
2.623246493,3.469395987
2.616232465,3.472179184
2.609218437,3.474961814
2.602204409,3.4777388
2.595190381,3.480506018
2.588176353,3.483258803
2.581162325,3.485991743
2.574148297,3.488701123
2.567134269,3.491382303
2.56012024,3.494033808
2.553106212,3.496654132
2.546092184,3.499239291
2.539078156,3.501799339
2.532064128,3.504337691
2.5250501,3.506853349
2.518036072,3.509346018
2.511022044,3.511816062
2.504008016,3.514262965
2.496993988,3.516685589
2.48997996,3.519082799
2.482965932,3.521453456
2.475951904,3.523796679
2.468937876,3.526112229
2.461923848,3.528399782
2.45490982,3.530659014
2.447895792,3.532889598
2.440881764,3.535092638
2.433867735,3.537270747
2.426853707,3.539427949
2.419839679,3.541566331
2.412825651,3.543686998
2.405811623,3.545789843
2.398797595,3.547873828
2.391783567,3.549939041
2.384769539,3.551985583
2.377755511,3.554013626
2.370741483,3.556024189
2.363727455,3.558017286
2.356713427,3.559992554
2.349699399,3.561949633
2.342685371,3.563888161
2.335671343,3.565807776
2.328657315,3.567708117
2.321643287,3.569589662
2.314629259,3.5714545
2.30761523,3.573301824
2.300601202,3.575127858
2.293587174,3.576933772
2.286573146,3.578721373
2.279559118,3.580491072
2.27254509,3.582242739
2.265531062,3.583979228
2.258517034,3.585702991
2.251503006,3.587416385
2.244488978,3.589121764
2.23747495,3.590821585
2.230460922,3.592519509
2.223446894,3.59421873
2.216432866,3.595922197
2.209418838,3.597634063
2.20240481,3.599358232
2.195390782,3.601098097
2.188376754,3.602857052
2.181362725,3.604638423
2.174348697,3.606444799
2.167334669,3.608282298
2.160320641,3.610152719
2.153306613,3.61205508
2.146292585,3.61398821
2.139278557,3.615950552
2.132264529,3.617939235
2.125250501,3.619951097
2.118236473,3.621983842
2.111222445,3.624035174
2.104208417,3.626102797
2.097194389,3.628184252
2.090180361,3.630275712
2.083166333,3.632374396
2.076152305,3.63447787
2.069138277,3.636583702
2.062124248,3.638689461
2.05511022,3.640792714
2.048096192,3.64289181
2.041082164,3.644987354
2.034068136,3.647079816
2.027054108,3.649172918
2.02004008,3.651266225
2.013026052,3.653359182
2.006012024,3.655451233
1.998997996,3.657541495
1.991983968,3.659630669
1.98496994,3.661719376
1.977955912,3.663806948
1.970941884,3.665892721
1.963927856,3.667976029
1.956913828,3.67005616
1.9498998,3.672132056
1.942885772,3.674202896
1.935871743,3.676267931
1.928857715,3.67832641
1.921843687,3.6803777
1.914829659,3.682423162
1.907815631,3.684463117
1.900801603,3.686496357
1.893787575,3.688519859
1.886773547,3.690537026
1.879759519,3.692548268
1.872745491,3.694552822
1.865731463,3.696550555
1.858717435,3.698545252
1.851703407,3.70053776
1.844689379,3.702528674
1.837675351,3.704517603
1.830661323,3.706504122
1.823647295,3.708487805
1.816633267,3.71046829
1.809619238,3.712445553
1.80260521,3.714419172
1.795591182,3.716388647
1.788577154,3.718353581
1.781563126,3.720313605
1.774549098,3.722268273
1.76753507,3.724216832
1.760521042,3.726159454
1.753507014,3.728096565
1.746492986,3.730027945
1.739478958,3.731953371
1.73246493,3.733872622
1.725450902,3.735785941
1.718436874,3.737693734
1.711422846,3.739595951
1.704408818,3.741492781
1.69739479,3.743384303
1.690380762,3.745270547
1.683366733,3.747151543
1.676352705,3.749027377
1.669338677,3.750898426
1.662324649,3.752764705
1.655310621,3.754625999
1.648296593,3.756482463
1.641282565,3.758334269
1.634268537,3.76018159
1.627254509,3.7620245
1.620240481,3.763862876
1.613226453,3.765696942
1.606212425,3.767526947
1.599198397,3.769353054
1.592184369,3.771175452
1.585170341,3.77299648
1.578156313,3.774816833
1.571142285,3.7766365
1.564128257,3.778455228
1.557114228,3.780272814
1.5501002,3.782089302
1.543086172,3.783904733
1.536072144,3.785718854
1.529058116,3.787530341
1.522044088,3.789339149
1.51503006,3.791145422
1.508016032,3.7929493
1.501002004,3.794750927
1.493987976,3.79655107
1.486973948,3.79835107
1.47995992,3.800150733
1.472945892,3.801949862
1.465931864,3.803748261
1.458917836,3.805545649
1.451903808,3.807338897
1.44488978,3.809127153
1.437875752,3.810911299
1.430861723,3.812692217
1.423847695,3.814470763
1.416833667,3.816247714
1.409819639,3.818023873
1.402805611,3.819800092
1.395791583,3.821578153
1.388777555,3.823361946
1.381763527,3.825151693
1.374749499,3.82694722
1.367735471,3.828748354
1.360721443,3.830554919
1.353707415,3.83236681
1.346693387,3.834183999
1.339679359,3.836006371
1.332665331,3.837833812
1.325651303,3.839666209
1.318637275,3.841509665
1.311623246,3.843374556
1.304609218,3.845254712
1.29759519,3.847142932
1.290581162,3.849034907
1.283567134,3.850924154
1.276553106,3.852804569
1.269539078,3.854671021
1.26252505,3.856520209
1.255511022,3.858350118
1.248496994,3.86016241
1.241482966,3.861955166
1.234468938,3.863726097
1.22745491,3.865472913
1.220440882,3.867193333
1.213426854,3.868885817
1.206412826,3.87054875
1.199398798,3.872180341
1.19238477,3.873778796
1.185370741,3.87534405
1.178356713,3.876890977
1.171342685,3.878425661
1.164328657,3.879950922
1.157314629,3.881469576
1.150300601,3.882983992
1.143286573,3.884495521
1.136272545,3.886004517
1.129258517,3.887511226
1.122244489,3.88901887
1.115230461,3.890530125
1.108216433,3.892046581
1.101202405,3.893571493
1.094188377,3.895108236
1.087174349,3.896660193
1.080160321,3.898231316
1.073146293,3.899824851
1.066132265,3.901443452
1.059118236,3.903089774
1.052104208,3.904766468
1.04509018,3.906471673
1.038076152,3.908203173
1.031062124,3.909962527
1.024048096,3.911751752
1.017034068,3.913576292
1.01002004,3.915447268
1.003006012,3.917369311
0.995991984,3.919351925
0.988977956,3.92141584
0.981963928,3.923557729
0.9749499,3.925770961
0.967935872,3.928048303
0.960921844,3.930387415
0.953907816,3.932782475
0.946893788,3.933570479
0.93987976,3.936214415
0.932865731,3.938902703
0.925851703,3.941627992
0.918837675,3.944382931
0.911823647,3.947161519
0.904809619,3.949960767
0.897795591,3.952772802
0.890781563,3.955598964
0.883767535,3.958435806
0.876753507,3.961273944
0.869739479,3.964103995
0.862725451,3.966916576
0.855711423,3.969702995
0.848697395,3.972476023
0.841683367,3.975240049
0.834669339,3.977990533
0.827655311,3.980723491
0.820641283,3.983433512
0.813627255,3.986115448
0.806613226,3.988767764
0.799599198,3.991385153
0.79258517,3.993960861
0.785571142,3.996488132
0.778557114,3.99896068
0.771543086,4.00138219
0.764529058,4.003755162
0.75751503,4.00608224
0.750501002,4.00835906
0.743486974,4.010581165
0.736472946,4.012744099
0.729458918,4.014843405
0.72244489,4.01687687
0.715430862,4.018857786
0.708416834,4.020796375
0.701402806,4.022696909
0.694388778,4.02455875
0.687374749,4.026383026
0.680360721,4.028166857
0.673346693,4.029912034
0.666332665,4.031622068
0.659318637,4.033294773
0.652304609,4.034932204
0.645290581,4.036538427
0.638276553,4.038118736
0.631262525,4.039683761
0.624248497,4.041231214
0.617234469,4.042758364
0.610220441,4.04426248
0.603206413,4.04574083
0.596192385,4.047190685
0.589178357,4.048609312
0.582164329,4.04999398
0.575150301,4.05134196
0.568136273,4.052650972
0.561122244,4.053921579
0.554108216,4.055154652
0.547094188,4.056352632
0.54008016,4.057514753
0.533066132,4.058642968
0.526052104,4.059736493
0.519038076,4.060794099
0.512024048,4.061815064
0.50501002,4.062805405
0.497995992,4.063770969
0.490981964,4.06471406
0.483967936,4.065636467
0.476953908,4.066539977
0.46993988,4.067426377
0.462925852,4.068297455
0.455911824,4.069154999
0.448897796,4.070000796
0.441883768,4.070836633
0.434869739,4.071664298
0.427855711,4.072483271
0.420841683,4.073284846
0.413827655,4.074068309
0.406813627,4.074836984
0.399799599,4.075593092
0.392785571,4.0763393
0.385771543,4.077078647
0.378757515,4.07781976
0.371743487,4.078568026
0.364729459,4.079320094
0.357715431,4.080073483
0.350701403,4.080828399
0.343687375,4.08146423
0.336673347,4.082199897
0.329659319,4.082933588
0.322645291,4.083662186
0.315631263,4.084383506
0.308617234,4.085098247
0.301603206,4.085807105
0.294589178,4.086510779
0.28757515,4.087209965
0.280561122,4.087904983
0.273547094,4.088593517
0.266533066,4.089272518
0.259519038,4.089940412
0.25250501,4.090605982
0.245490982,4.091287117
0.238476954,4.091987771
0.231462926,4.092714398
0.224448898,4.093478744
0.21743487,4.094284016
0.210420842,4.095132843
0.203406814,4.096027856
0.196392786,4.096971685
0.189378758,4.097966958
0.182364729,4.099016307
0.175350701,4.10012236
0.168336673,4.101287748
0.161322645,4.102515101
0.154308617,4.103807047
0.147294589,4.105166217
0.140280561,4.106596643
0.133266533,4.108284404
0.126252505,4.110341101
0.119238477,4.112637175
0.112224449,4.115138379
0.105210421,4.117891903
0.098196393,4.120900377
0.091182365,4.124175168
0.084168337,4.127694727
0.077154309,4.13142215
0.070140281,4.135328263
0.063126253,4.139505386
0.056112224,4.144031638
0.049098196,4.148832656
0.042084168,4.153936302
0.03507014,4.159383247
0.028056112,4.165530822
0.021042084,4.171990987
0.014028056,4.178909264
0.007014028,4.188551126
0,4.199992556
